accession,title,organism,n_samples,date,platform,type,query
GSE30335,Genomic Signatures for Pesticide Exposure in Latino Farmworkers,Homo sapiens,40,2019/12/31,570,Expression profiling by array,Parkinson's disease AND control AND GPL570
GSE103099,Helper-dependent CAV-2 vector-mediated LRRK2G2019S expression in the M. murinus brain induces Parkinson's disease-like histological lesions and motor symptoms,Homo sapiens; Microcebus murinus,59,2018/03/01,570,Expression profiling by array,Parkinson's disease AND control AND GPL570
GSE102709,Gene expression changes in the midbrain of Microcebus murinus induced by Canine adenovirus type 2 (CAV-2),Microcebus murinus; Homo sapiens,19,2018/03/01,570,Expression profiling by array,Parkinson's disease AND control AND GPL570
GSE102708,Gene expression changes in the frontal cortex of Microcebus murinus induced by Canine adenovirus type 2 (CAV-2),Homo sapiens; Microcebus murinus,20,2018/03/01,570,Expression profiling by array,Parkinson's disease AND control AND GPL570
GSE102640,Gene expression changes in the striatum of Microcebus murinus induced by Canine adenovirus type 2 (CAV-2),Homo sapiens; Microcebus murinus,20,2018/03/01,570,Expression profiling by array,Parkinson's disease AND control AND GPL570
GSE95427,Expression profiling of H4 cells expressing a Myc tagged aSyn construct,Homo sapiens,8,2017/07/31,570,Expression profiling by array,Parkinson's disease AND control AND GPL570
GSE99039,A blood-based gene signature characterizing Idiopathic Parkinson's disease,Homo sapiens,558,2017/05/20,570,Expression profiling by array,Parkinson's disease AND control AND GPL570
GSE49036,"Evidence for immune response, axonal dysfunction and reduced endocytosis preceding Lewy body pathology in the substantia nigra in Parkinson’s disease",Homo sapiens,28,2015/05/12,570,Expression profiling by array,Parkinson's disease AND control AND GPL570
GSE30643,Expression data from parietal cortex of G114V genetic Creutzfeldt-Jakob disease patient,Homo sapiens,2,2013/07/01,570,Expression profiling by array,Parkinson's disease AND control AND GPL570
GDS4141,Alzheimer's disease: induced pluripotent stem cells with Presenilin 2 mutation (N141),Homo sapiens,4,2011/09/10,570,Expression profiling by array,Parkinson's disease AND control AND GPL570
GSE29773,Gene Expression Data for Generation of isogenic pluripotent stem cells differing exclusively at two early onset Parkinson point mutations,Homo sapiens,12,2011/07/26,13695,Expression profiling by array,Parkinson's disease AND control AND GPL570
GSE24598,The human nose harbours a niche of olfactory ecto-mesenchymal stem cells displaying neurogenic and osteogenic properties,Homo sapiens,29,2010/10/08,96;570,Expression profiling by array,Parkinson's disease AND control AND GPL570
GSE20153,Expression analysis of lymphoblast cells lines in Parkinson's disease,Homo sapiens,16,2010/02/04,570,Expression profiling by array,Parkinson's disease AND control AND GPL570
GSE20146,Expression analysis of dissected GPi in Parkinson's disease,Homo sapiens,20,2010/02/04,570,Expression profiling by array,Parkinson's disease AND control AND GPL570
GSE20141,Expression analysis of laser-dissected SNpc neurons in Parkinson's disease,Homo sapiens,18,2010/02/04,570,Expression profiling by array,Parkinson's disease AND control AND GPL570
GSE9807,Expression data from RNAi SNCA treated human neuroblastoma cell line,Homo sapiens,6,2009/02/01,570,Expression profiling by array,Parkinson's disease AND control AND GPL570
GSE14429,Alteration of gene expression profile in HEK293 cells treated with proteasome inhibitor epoxomicin,Homo sapiens,12,2009/01/15,570,Expression profiling by array,Parkinson's disease AND control AND GPL570
GSE7621,Expression data of substantia nigra from postmortem human brain of Parkinson's disease patients (PD),Homo sapiens,25,2007/06/14,570,Expression profiling by array,Parkinson's disease AND control AND GPL570
GDS2821,Parkinson's disease: substantia nigra,Homo sapiens,25,2007/06/14,570,Expression profiling by array,Parkinson's disease AND control AND GPL570
GSE7307,Human body index - transcriptional profiling,Homo sapiens,677,2007/04/09,570,Expression profiling by array,Parkinson's disease AND control AND GPL570
GSE4773,Greene-5P01NS017771-220003,Homo sapiens,21,2006/06/06,570,Expression profiling by array,Parkinson's disease AND control AND GPL570
GPL570,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array,Homo sapiens,176371,2003/11/07,570,,Parkinson's disease AND control AND GPL570
GSM184378,Substantia nigra PD rep16,Homo sapiens,0,2007/06/14,570,,Parkinson's disease AND control AND GPL570
GSM184377,Substantia nigra PD rep15,Homo sapiens,0,2007/06/14,570,,Parkinson's disease AND control AND GPL570
GSM184376,Substantia nigra PD rep14,Homo sapiens,0,2007/06/14,570,,Parkinson's disease AND control AND GPL570
GSM184375,Substantia nigra PD rep13,Homo sapiens,0,2007/06/14,570,,Parkinson's disease AND control AND GPL570
GSM184374,Substantia nigra PD rep12,Homo sapiens,0,2007/06/14,570,,Parkinson's disease AND control AND GPL570
GSM184373,Substantia nigra PD rep11,Homo sapiens,0,2007/06/14,570,,Parkinson's disease AND control AND GPL570
GSM184372,Substantia nigra PD rep10,Homo sapiens,0,2007/06/14,570,,Parkinson's disease AND control AND GPL570
GSM184371,Substantia nigra PD rep9,Homo sapiens,0,2007/06/14,570,,Parkinson's disease AND control AND GPL570
GSM184370,Substantia nigra PD rep8,Homo sapiens,0,2007/06/14,570,,Parkinson's disease AND control AND GPL570
GSM184369,Substantia nigra PD rep7,Homo sapiens,0,2007/06/14,570,,Parkinson's disease AND control AND GPL570
GSM184368,Substantia nigra PD rep6,Homo sapiens,0,2007/06/14,570,,Parkinson's disease AND control AND GPL570
GSM184367,Substantia nigra PD rep5,Homo sapiens,0,2007/06/14,570,,Parkinson's disease AND control AND GPL570
GSM184366,Substantia nigra PD rep4,Homo sapiens,0,2007/06/14,570,,Parkinson's disease AND control AND GPL570
GSM184365,Substantia nigra PD rep3,Homo sapiens,0,2007/06/14,570,,Parkinson's disease AND control AND GPL570
GSM184364,Substantia nigra PD rep2,Homo sapiens,0,2007/06/14,570,,Parkinson's disease AND control AND GPL570
GSM184363,Substantia nigra PD rep1,Homo sapiens,0,2007/06/14,570,,Parkinson's disease AND control AND GPL570
GSE125234,Modelling G2019S-LRRK2 sporadic Parkinson’s disease in 3D midbrain organoids,Homo sapiens,4,2019/02/02,6244,Expression profiling by array,Parkinson's disease AND control AND GPL6244
