accession,title,organism,n_samples,date,has_pub,type,platform,summary,query
GSE30335,Genomic Signatures for Pesticide Exposure in Latino Farmworkers,Homo sapiens,40,2019/12/31,False,Expression profiling by array,570,"we tested the hypothesis that differential gene expression in whole blood will reveal candidate blood biomarkers for exposure to agricultural pesticides and herbicides. blood gene expression in male latino farmworkers, where chronic pesticide exposure is occupational, was compared to blood gene expression in age and gender matched latino manual workers. we identified an expression signature for farmwork, differential expression in genes that correlated with levels of urinary pesticide metabolites, alterations in axonal guidance pathways and statistical models that link farmworker differential expression to parkinson's disease.",Parkinson's disease AND control AND GPL570
GSE103099,Helper-dependent CAV-2 vector-mediated LRRK2G2019S expression in the M. murinus brain induces Parkinson's disease-like histological lesions and motor symptoms,Homo sapiens; Microcebus murinus,59,2018/03/01,True,Expression profiling by array,570,this superseries is composed of the subseries listed below.,Parkinson's disease AND control AND GPL570
GSE102709,Gene expression changes in the midbrain of Microcebus murinus induced by Canine adenovirus type 2 (CAV-2),Microcebus murinus; Homo sapiens,19,2018/03/01,True,Expression profiling by array,570,"parkinson disease (pd) is a neurodegenerative disease primarily associated with impaired movement affecting elderly people. to improve the understanding of the pathogenesis and to develop new therapies, we have developed a non-human primate model of pd using the lemurian microcebus murinus (mim). in this study, we tested the potential of canine adenovirus type 2 (cav-2) as vector for gene transfer in the mim brain by analyzing the gene expression changes in three regions involved in motor control: striatum, frontal cortex and midbrain. the cav-2 viruses were injected in the right striatum of young adult females, 2 years old. cav-2 vectors preferentially transduce neurons in the primate brain and were carried by axonal transport to afferent structures in both hemispheres. the gene expression changes were analyzed at 2 critical times after infection by cav-2: an acute time effect at 24h and a delayed time effect at 28 days post infection. in addition, the gene expression was compared in the ipsilateral side versus the contralateral side, and with a non-infected brain samples using human affymetrix microarrays. the transcriptomic data were analyzed by significance analysis of microarrays (sam) to identify genes differentially expressed when comparing brain samples in the 3 conditions. the data were also analyzed by anova one way and by principal component analysis (pca). the results have shown that the transduction of cav2 in neurons induced specific changes. these changes differed during the immediate and the long-term-point. gene expression changes were detected in transcriptional regulation, in synaptic transmission, in cellular trafficking and in immune response. more precisely, in the short term, cav2 activated genes involved in a non-specific innate immune response. in the long term, cav2 induced an adaptive tolerant immune response. gene expression changes in the midbrain of microcebus murinus induced by canine adenovirus type 2 (cav-2)",Parkinson's disease AND control AND GPL570
GSE102708,Gene expression changes in the frontal cortex of Microcebus murinus induced by Canine adenovirus type 2 (CAV-2),Homo sapiens; Microcebus murinus,20,2018/03/01,True,Expression profiling by array,570,"parkinson disease (pd) is a neurodegenerative disease primarily associated with impaired movement affecting elderly people. to improve the understanding of the pathogenesis and to develop new therapies, we have developed a non-human primate model of pd using the lemurian microcebus murinus (mim). in this study, we tested the potential of canine adenovirus type 2 (cav-2) as vector for gene transfer in the mim brain by analyzing the gene expression changes in three regions involved in motor control: striatum, frontal cortex and midbrain. the cav-2 viruses were injected in the right striatum of young adult females, 2 years old. cav-2 vectors preferentially transduce neurons in the primate brain and were carried by axonal transport to afferent structures in both hemispheres. the gene expression changes were analyzed at 2 critical times after infection by cav-2: an acute time effect at 24h and a delayed time effect at 28 days post infection. in addition, the gene expression was compared in the ipsilateral side versus the contralateral side, and with a non-infected brain samples using human affymetrix microarrays. the transcriptomic data were analyzed by significance analysis of microarrays (sam) to identify genes differentially expressed when comparing brain samples in the 3 conditions. the data were also analyzed by anova one way and by principal component analysis (pca). the results have shown that the transduction of cav2 in neurons induced specific changes. these changes differed during the immediate and the long-term-point. gene expression changes were detected in transcriptional regulation, in synaptic transmission, in cellular trafficking and in immune response. more precisely, in the short term, cav2 activated genes involved in a non-specific innate immune response. in the long term, cav2 induced an adaptive tolerant immune response. gene expression changes in the frontal cortex of microcebus murinus induced by canine adenovirus type 2 (cav-2)",Parkinson's disease AND control AND GPL570
GSE102640,Gene expression changes in the striatum of Microcebus murinus induced by Canine adenovirus type 2 (CAV-2),Homo sapiens; Microcebus murinus,20,2018/03/01,True,Expression profiling by array,570,"parkinson disease (pd) is a neurodegenerative disease primarily associated with impaired movement affecting elderly people. to improve the understanding of the pathogenesis and to develop new therapies, we have developed a non-human primate model of pd using the lemurian microcebus murinus (mim). in this study, we tested the potential of canine adenovirus type 2 (cav-2) as vector for gene transfer in the mim brain by analyzing the gene expression changes in three regions involved in motor control: striatum, frontal cortex and midbrain. the cav-2 viruses were injected in the right striatum of young adult females, 2 years old. cav-2 vectors preferentially transduce neurons in the primate brain and were carried by axonal transport to afferent structures in both hemispheres. the gene expression changes were analyzed at 2 critical times after infection by cav-2: an acute time effect at 24h and a delayed time effect at 28 days post infection. in addition, the gene expression was compared in the ipsilateral side versus the contralateral side, and with a non-infected brain samples using human affymetrix microarrays. the transcriptomic data were analyzed by significance analysis of microarrays (sam) to identify genes differentially expressed when comparing brain samples in the 3 conditions. the data were also analyzed by anova one way and by principal component analysis (pca). the results have shown that the transduction of cav2 in neurons induced specific changes. these changes differed during the immediate and the long-term-point. gene expression changes were detected in transcriptional regulation, in synaptic transmission, in cellular trafficking and in immune response. more precisely, in the short term, cav2 activated genes involved in a non-specific innate immune response. in the long term, cav2 induced an adaptive tolerant immune response. gene expression changes in the striatum of microcebus murinus induced by canine adenovirus type 2 (cav-2)",Parkinson's disease AND control AND GPL570
GSE95427,Expression profiling of H4 cells expressing a Myc tagged aSyn construct,Homo sapiens,8,2017/07/31,False,Expression profiling by array,570,"the aim of the present study was to identify and confirm gene expression differences in control h4 cells and wt asyn expressing h4 cells, one of the cell-based models of parkinson`s disease. dna microarray gene expression was performed in two samples of control h4 cells and in two samples expressing wt asyn, along with bioinformatics analysis of retrieved data.",Parkinson's disease AND control AND GPL570
GSE99039,A blood-based gene signature characterizing Idiopathic Parkinson's disease,Homo sapiens,558,2017/05/20,True,Expression profiling by array,570,"establishing reliable biomarkers for assessing and validating clinical diagnosis at early prodromal stages of parkinson’s disease is crucial for developing therapies to slow or halt disease progression. here, we present the largest study to date using whole blood gene expression profiling from over 500 individuals to identify an 87-gene blood-based signature. our gene signature effectively differentiates between idiopathic pd patients and controls in both a validation cohort and an independent test cohort, and further highlights mitochondrial metabolism and ubiquitination/proteasomal degradation as potential pathways disrupted in parkinson’s disease.",Parkinson's disease AND control AND GPL570
GSE49036,"Evidence for immune response, axonal dysfunction and reduced endocytosis preceding Lewy body pathology in the substantia nigra in Parkinson’s disease",Homo sapiens,28,2015/05/12,True,Expression profiling by array,570,"subjects with incidental lewy body disease (ilbd) may represent the premotor stage of parkinson’s disease (pd). to identify molecular mechanisms underlying neuronal dysfunction and alpha--synuclein pathology in the premotor phase of pd, we investigated the transcriptome of post-mortem substantia nigra (sn) of ilbd, pd donors and age-matched controls with braak alpha--synuclein stage ranging from 0-6. in braak alpha--synuclein stages 1 and 2, we observed deregulation of pathways linked to axonal degeneration, unfolded protein response (upr), immune response and endocytosis, including axonal guidance signaling, protein kinase a signaling, mtor signaling, eif2 signaling and clathrin-mediated endocytosis. in braak stages 3 and 4, we observed a deregulation in pathways involved in protein translation and cell survival, including mtor and eif2 signaling. in braak stages 5 and 6, we observed deregulation of pathways such as dopaminergic signaling, axonal guidance signaling and thrombin signaling. throughout the progression of pd pathology, we observed a deregulation of mtor, eif2 and regulation of eif4 and p70s6k signaling in the sn. this implicates that molecular mechanisms related to upr, axonal dysfunction, endocytosis and immune response are an early event in pd pathology, and may hold the key to altering the disease progression in pd.",Parkinson's disease AND control AND GPL570
GSE30643,Expression data from parietal cortex of G114V genetic Creutzfeldt-Jakob disease patient,Homo sapiens,2,2013/07/01,False,Expression profiling by array,570,"the familial or genetic creutzfeldt-jakob disease (fcjd or gcjd) is the inherent form of human prion diseases, which accounts for approximately 10-15% of human prion diseases that are caused by mutations of the prion protein gene (prnp). in this study, the global expression patterns of the parietal cortex from a patient with g114v gcjd were comparatively analyzed with the normal controls by using a commercial human genome expression chip. totally 8774 genes showed differential expression, among them 2769 genes were upregulated and 6005 ones were downregulated. the reliability of the results was confirmed by the real-time rt-pcr assays for several specific genes. the most differentially expressed genes involved in the functions of regulation of transcription, ion transport, transcription, cell adhesion, signal transduction. the gene associated with gliosis was upregulated and the genes marked for neurons were downregulated, while the transcription of prnp gene maintained unchanged. 169 different pathways showed significantly changed in the brain of g114v gcjd. the most significantly regulated pathways included that of alzheimer’s and parkinson’s disease, oxidative phosphorylation, regulation of actin cytoskeleton, mapk signaling pathway and proteasome, which were described in prion diseases previously. in addition, some rarely addressed pathways in prion diseases, such as axon guidance, gap junction and purine metabolism, were also significantly changed in g114v gcjd. the transcriptional situations of the most genes in the top ten changed pathways were down-regulated. the extensive reductions of gene expressions in g114v gcjd showed the comparable profiles with sporadic cjd. the data here raised the useful clues for understanding the pathogenesis of the disease and selecting the potential biomarkers for diagnostic and therapeutic tools.",Parkinson's disease AND control AND GPL570
GDS4141,Alzheimer's disease: induced pluripotent stem cells with Presenilin 2 mutation (N141),Homo sapiens,4,2011/09/10,True,Expression profiling by array,570,"analysis of 2 ipsc clones with presenilin 2 (ps2) mutation n141, established by retroviral transduction of fibroblasts from a familial alzheimer’s disease (fad) patient. ps2 mutations are causative factors for autosomal-dominant early-onset fad. results provide insight into molecular basis of fad.",Parkinson's disease AND control AND GPL570
