accession,title,organism,n_samples,date,has_pub,type,summary,query
GSE318560,"Common pathogenic mechanisms in the hippocampus across neurodegenerative dementias: Alzheimer's disease, Down syndrome, and Parkinson's disease",Homo sapiens,20,2026/02/05,False,Expression profiling by high throughput sequencing,"extensive evidence suggests overlapping pathological mechanisms in the brain of individuals with parkinson´s disease dementia, down syndrome dementia, and alzheimer´s disease. for these neurodegenerative dementias, we observed that the chronological age did not align with their biological age, which was determined based on hippocampal transcript levels (i.e., transcriptional age). subsequently, we performed a transcriptomic analysis that corrected for the transcriptional age in the hippocampus of affected individuals, highlighting common underlying pathogenic mechanisms. there were 45 common differentially expressed genes (degs), whereas enriched functional terms were related to lysine n-methyltransferase activity and intermediate filament. co-expression network analysis displayed a module that was significantly downregulated in the non-demented control group only. this module identified ehmt2 and lmnb2 as hub genes, which were also common degs. overall, these findings uncover shared functional insights in the hippocampus, while specifically highlighting ehmt2 and lmnb2 as potential universal biomarkers or disease-altered targets across neurodegenerative dementias.",Parkinson's disease AND control AND RNA-seq AND human
GSE287941,Systematic characterization of LUHMES cell-based Parkinson’s disease models reveals potential novel drug targets.,Homo sapiens,22,2026/01/01,False,Expression profiling by high throughput sequencing,"parkinson's disease (pd) encompasses incurable and progressive loss of dopaminergic neurons in patients and the research for effective disease-modifying treatments are still ongoing. in this study, using a systems biology-based approach we show that 6-ohda treatment of alpha-synuclein-overexpressing luhmes cells can be used as a physiologically relevant model of pd. rnaseq analysis in these luhmes-based disease models validate genes including hmox1 and igf2r in common with previously identified pd genes. we further confirm that quercetin and rutin can partially alleviate cell death in this model and show that the expression of genes related to pd as well as those related to mitochondria and energy metabolism are back to basal levels in control cells upon quercetin or rutin pre-treatment. when rnaseq analysis was performed on drug-pretreated luhmes pd models, protein folding, misfolded protein binding and unfolded protein response pathways were found to be affected. we believe these findings offer new avenues of innovative therapeutic strategies for pd.",Parkinson's disease AND control AND RNA-seq AND human
GSE315113,Chromatin accessibility and transcriptome in human neuronal model exposed to Parkinson's environmental toxins [ATAC-Seq],Homo sapiens,6,2025/12/30,False,Genome binding/occupancy profiling by high throughput sequencing,"parkinson's disease is a complex neurodegenerative disorder where environmental factors play a predominant role in sporadic cases. while environmental toxins are implicated in pd pathogenesis via epigenetic pathways, the specific alterations in chromatin accessibility induced by these toxins remain poorly characterized. to address this gap, we established in vitro models using the human neuroblastoma cell line sh sy5y, a well established neuronal model, exposed to the pd associated environmental toxins rotenone and mpp+. we performed rna sequencing to profile the transcriptome and assay for transposase-accessible chromatin sequencing to map genome-wide chromatin accessibility landscapes under toxin exposed conditions. this integrated dataset provides a comprehensive resource detailing both gene expression and chromatin accessibility dynamics in response to pd relevant environmental neurotoxins and will facilitate investigations into transcriptional regulation, biomarker discovery, and the epigenetic basis of environmentally linked sporadic pd.",Parkinson's disease AND control AND RNA-seq AND human
GSE315111,Chromatin accessibility and transcriptome in human neuronal model exposed to Parkinson's environmental toxins [RNA-Seq],Homo sapiens,9,2025/12/30,False,Expression profiling by high throughput sequencing,"parkinson's disease is a complex neurodegenerative disorder where environmental factors play a predominant role in sporadic cases. while environmental toxins are implicated in pd pathogenesis via epigenetic pathways, the specific alterations in chromatin accessibility induced by these toxins remain poorly characterized. to address this gap, we established in vitro models using the human neuroblastoma cell line sh sy5y, a well established neuronal model, exposed to the pd associated environmental toxins rotenone and mpp+. we performed rna sequencing to profile the transcriptome and assay for transposase-accessible chromatin sequencing to map genome-wide chromatin accessibility landscapes under toxin exposed conditions. this integrated dataset provides a comprehensive resource detailing both gene expression and chromatin accessibility dynamics in response to pd relevant environmental neurotoxins and will facilitate investigations into transcriptional regulation, biomarker discovery, and the epigenetic basis of environmentally linked sporadic pd.",Parkinson's disease AND control AND RNA-seq AND human
GSE295831,Vimentin network dysregulation mediates neurite deficits in SNCA duplication 2 Parkinson’s patient-derived midbrain neurons [RNA-seq],Homo sapiens,8,2025/05/02,True,Expression profiling by high throughput sequencing,"duplication of the snca gene (sncadupl), linked to elevated levels of alpha-synuclein (asyn), is a genetic cause of parkinson's disease (pd). our prior work with human-induced pluripotent stem cell (hipsc)-derived midbrain neurons generated from pd sncadupl patients identified neuritic deficits, accompanied by decreased levels of cytoskeletal element b-tubulin-iii (btubiii). to explore the underlying mechanisms for these effects in sncadupl neurons, we employed crispr/cas9 technology to generate isogenic control hipscs. isogenic correction of snca dosage restored sncadupl-induced neurite morphologic defects and decreased btubiii levels. multi-omics analyses revealed sncadupl-induced upregulation of the cytoskeletal protein vimentin. further characterization revealed heightened vimentin truncation, associated with altered distribution and organization. similar changes in vimentin levels and truncation were observed in post-mortem putamen tissue from sporadic pd patients. notably, interference with vimentin by okadaic acid and withaferin a restored btubiii- and neurite-associated defects, suggesting that targeting vimentin potentially prevents asyn-mediated neuritic degeneration.",Parkinson's disease AND control AND RNA-seq AND human
GSE295558,Large-scale bidirectional arrayed CRISPR screens identify OXR1 and EMC4 as modifiers of α-synuclein aggregation,Homo sapiens,12,2025/04/25,False,Expression profiling by high throughput sequencing,"in synucleinopathies, including parkinson’s disease, α-synuclein (α-syn) misfolds and forms ser129-phosphorylated aggregates (psyn). mitochondrial and lysosomal dysfunction, along with impairments in protein and organelle trafficking, exacerbate α-syn pathology through poorly defined molecular mechanisms. we used crispr-mediated gene activation and ablation to systematically interrogate mitochondrial, trafficking and motility-related genes to identify psyn regulators in hek293 cells exposed to α-syn fibrils. we found that activation of the mitochondrial protein oxr1 increased psyn by impairing atp synthesis and altering the mitochondrial membrane potential, whereas ablation of the endoplasmic reticulum (er)-associated protein emc4 reduced psyn by enhancing er-driven autophagic flux and lysosomal clearance. assays with distinct strains of α-syn fibrils revealed that oxr1 was preferentially synergistic with multiple system atrophy (msa)-associated fibrils, whereas emc4 broadly reduced psyn across diverse α-syn polymorphs. these findings were validated in human ipsc-derived cortical and dopaminergic neurons, with oxr1 preferentially driving somatic aggregation and emc4 depleting both somatic and neuritic aggregates. this work identifies oxr1 and emc4 as organelle-specific regulators of α-syn proteostasis and underscores the involvement of mitochondrial and er-lysosomal pathways in synucleinopathies.",Parkinson's disease AND control AND RNA-seq AND human
GSE283747,17q21.31 locus regulates Parkinson’s disease relevant pathways through KANSL1 activity,Homo sapiens,40,2025/03/17,False,Expression profiling by high throughput sequencing,"an inversion polymorphism at the 17q21.31 locus defines the h1 and h2 haplotypes, with the former linked to multiple neurodegenerative disorders, including an increased risk of parkinson’s disease (pd). although the high linkage disequilibrium at this locus has made it difficult to decipher which gene(s) drive the pd association, there is increasing evidence to support the role of kansl1 as a risk gene. kansl1 has been shown to regulate the expression of some pd-associated genes and pathways, likely as part of the histone acetylating non-specific lethal (nsl) complex. here for the first time, we studied the global effects of 17q21.31 haplotype variation using bulk and single-nuclear rna-sequencing data from control and pd patient brain. we first analysed differential gene expression across haplotype groups, and then assessed the contribution of kansl1 by comparing with the results of an sirna knockdown in neuronal and glial human cell lines. we demonstrated that the pd risk-associated h1 haplotype downregulates autophagy, lysosomal and mitochondrial processes, all of which have already been implicated in pd aetiology. furthermore, these effects were apparent in both neuronal and glial cell types, and in the case of the latter, appear to be associated with the modulation of innate and adaptive immune responses. thus, we identify important links between nsl complex activity and pd pathophysiology that can be leveraged for novel therapeutic interventions.",Parkinson's disease AND control AND RNA-seq AND human
GSE256334,Pre-symptomatic qPCR blood test based on Parkinson’s disease-specific angiogenin-derived transfer RNA fragments,Homo sapiens,45,2025/01/30,True,Non-coding RNA profiling by high throughput sequencing,"rapid, simple and reliable blood tests for parkinson’s disease (pd) may enable pre-symptomatic diagnosis and facilitate disease-changing treatments. here, we report escalated elevated levels of angiogenin-cleaved a disease specific group of nuclear genome-originated trna fragments (hereafter, pd-trfs) carrying a unique seven-nucleotide motif in substantia nigra, cerebrospinal fluid and blood of pd patients. a blood test using rna isolated from whole blood and dual multiplexl qpcr primers for pd-trfs and mitochondrial-originated trfs (mt-trfs) successfully distinguished pre-symptomatic pd patients from controls, outperforming traditional clinical scoring (roc-auc of 0.86 vs. 0.73). indicating relevance to disease symptoms, pd patients carrying gba, snca or lrrk2 mutations presented elevated blood pd/mt-trf ratios compared to mutations-carrying non-symptomatic individuals which indicates relevance to disease symptoms. furthermore, pd-trfs’ potential for ribosomal association predicted translational inhibition. intriguingly, pd-trfs levels declined both in patients’ blood following deep brain stimulation andas well as in in depolarized neuroblastoma cells where pd-trfs presented transientlydepolirization impaired impacted ribosomal associations. our findings facilitate a sensitive and accurate blood test for early pd.",Parkinson's disease AND control AND RNA-seq AND human
GSE282273,Human Induced Pluripotent Stem Cells-Derived Neural Organoids as a Novel In Vitro Platform for Developmental Neurotoxicity Assessment,Homo sapiens,6,2024/12/19,True,Expression profiling by high throughput sequencing,"rotenone is a neurotoxic substance that inhibits mitochondrial respiratory chain complex i, decreases atp production and increases oxidative stress. it exhibits neurotoxic effects, particularly on dopamine-producing neurons, and is associated with the etiology of parkinson’s disease. to better understand the impact of rotenone on neural development and function, we examined the effect of rotenone on gene expression using human induced pluripotent stem (ips) cells-derived neural organoids. cells were treated with rotenone as well as the controls at varying concentrations (0.3 μm, 1 μm, and 25 μm) for 48 hours. rna was subsequently extracted, and rna sequencing (rna-seq) was performed to analyze gene expression profiles. the results revealed that rotenone exposure potentially suppresses critical ligand-receptor interactions involved in neural development. network interaction analysis of kegg signaling pathways highlighted the involvement of the focal adhesion pathway and the neuroactive ligand-receptor interaction pathway in the neurotoxic effects of rotenone.",Parkinson's disease AND control AND RNA-seq AND human
GSE189878,M6A Demethylase FTO-mediated downregulation of DACT1 mRNA stability promotes Wnt signaling to facilitate osteosarcoma progression [RNA-seq],Homo sapiens,4,2024/11/30,False,Expression profiling by high throughput sequencing,"despite advances in clinical diagnosis and treatment, the prognosis of patients with osteosarcoma (os) remains poor, and the treatment efficacy has plateaued. therefore, it is important to identify new therapeutic targets for os. n6-methyladenosine (m6a) modification has been reported to participate in tumor malignancy. in this study, functional screening found that the m6a demethylase fto could be a candidate therapeutic target for os. upregulated fto in os could predict a poorer prognosis. fto promoted the growth and metastasis of os in vitro and in vivo. methylated rna immunoprecipitation sequencing (merip-seq) and rna sequencing (rna-seq) were performed to identify dact1 as a potential target of fto. in vitro assays demonstrated that fto could reduce the mrna stability of dact1 via m6a demethylation, which decreased dact1 expression and further activated the wnt signaling pathway. the oncogenic effect of fto on os was dependent on dact1. in addition, the m6a reader igf2bp1 was validated to participate in the regulation of dact1. entacapone, a conventional drug for parkinson's disease, was confirmed to suppress os via m6a-mediated regulation through the fto/dact1 axis. our findings demonstrate that fto may be a novel therapeutic target and that entacapone has the preclinical value to be repurposed for os.",Parkinson's disease AND control AND RNA-seq AND human
