Run,Assay Type,AvgSpotLen,Bases,batch,BioProject,BioSample,Bytes,cell_line,cell_type,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,source_name,SRA Study,tissue
SRR36692421,RNA-Seq,300,8307501900,3,PRJNA1398870,SAMN54465238,1958426557,H4997 WTRev,astrocytes,UNIVERSITY OF WASHINGTON,missing,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX31700300,GBA1 +/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436087,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:30:00Z,1,GSM9436087,male,iPSC-astrocytes,SRP660051,iPSC-astrocytes
SRR36692422,RNA-Seq,300,9244042500,2,PRJNA1398870,SAMN54465239,2213360588,H4997 WTRev,astrocytes,UNIVERSITY OF WASHINGTON,missing,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX31700299,GBA1 +/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436086,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:30:00Z,1,GSM9436086,male,iPSC-astrocytes,SRP660051,iPSC-astrocytes
SRR36692423,RNA-Seq,300,10895467800,1,PRJNA1398870,SAMN54465240,2563585766,H4997 WTRev,astrocytes,UNIVERSITY OF WASHINGTON,missing,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX31700298,GBA1 +/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436085,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:30:00Z,1,GSM9436085,male,iPSC-astrocytes,SRP660051,iPSC-astrocytes
SRR36692424,RNA-Seq,300,9186938400,3,PRJNA1398870,SAMN54465241,2902943436,H1112 clone 2,midbrain dopaminergic neurons,UNIVERSITY OF WASHINGTON,missing,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX31700297,GBA1 +/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436084,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:29:00Z,1,GSM9436084,male,iPSC-neurons,SRP660051,iPSC-neurons
SRR36692425,RNA-Seq,300,7901799300,2,PRJNA1398870,SAMN54465242,2495923392,H1112 clone 2,midbrain dopaminergic neurons,UNIVERSITY OF WASHINGTON,missing,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX31700296,GBA1 +/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436083,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:31:00Z,1,GSM9436083,male,iPSC-neurons,SRP660051,iPSC-neurons
SRR36692426,RNA-Seq,300,7842261900,1,PRJNA1398870,SAMN54465243,2492933853,H1112 clone 2,midbrain dopaminergic neurons,UNIVERSITY OF WASHINGTON,missing,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX31700295,GBA1 +/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436082,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:29:00Z,1,GSM9436082,male,iPSC-neurons,SRP660051,iPSC-neurons
SRR36692427,RNA-Seq,300,8942155500,3,PRJNA1398870,SAMN54465244,2124971588,H4997 B3,midbrain dopaminergic neurons,UNIVERSITY OF WASHINGTON,missing,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX31700294,GBA1 IVS/IVS,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436081,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:29:00Z,1,GSM9436081,male,iPSC-neurons,SRP660051,iPSC-neurons
SRR36692428,RNA-Seq,300,9746277300,2,PRJNA1398870,SAMN54465245,2290245312,H4997 B3,midbrain dopaminergic neurons,UNIVERSITY OF WASHINGTON,missing,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX31700293,GBA1 IVS/IVS,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436080,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:29:00Z,1,GSM9436080,male,iPSC-neurons,SRP660051,iPSC-neurons
SRR36692429,RNA-Seq,300,7113433200,1,PRJNA1398870,SAMN54465246,1676454344,H4997 B3,midbrain dopaminergic neurons,UNIVERSITY OF WASHINGTON,missing,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX31700292,GBA1 IVS/IVS,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436079,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:30:00Z,1,GSM9436079,male,iPSC-neurons,SRP660051,iPSC-neurons
SRR36692430,RNA-Seq,300,10319213400,3,PRJNA1398870,SAMN54465247,2486817801,H4997 B3,astrocytes,UNIVERSITY OF WASHINGTON,missing,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX31700291,GBA1 IVS/IVS,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436078,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:30:00Z,1,GSM9436078,male,iPSC-astrocytes,SRP660051,iPSC-astrocytes
