Geneid,SRR36692440
ENSG00000160072,63
ENSG00000279928,5
ENSG00000228037,0
ENSG00000142611,212
ENSG00000284616,2
ENSG00000157911,589
ENSG00000269896,10
ENSG00000228463,151
ENSG00000260972,0
ENSG00000224340,0
ENSG00000226374,0
ENSG00000229280,0
ENSG00000142655,700
ENSG00000232596,10
ENSG00000235054,0
ENSG00000231510,0
ENSG00000149527,36
ENSG00000284739,0
ENSG00000171621,48
ENSG00000272235,0
ENSG00000284694,0
ENSG00000224387,0
ENSG00000142583,2
ENSG00000284674,0
ENSG00000224338,0
ENSG00000116786,1327
ENSG00000287727,0
ENSG00000286448,0
ENSG00000284703,0
ENSG00000226457,0
ENSG00000173614,294
ENSG00000215720,0
ENSG00000241326,0
ENSG00000233623,0
ENSG00000162592,4
ENSG00000204624,286
ENSG00000142606,8
ENSG00000225931,0
ENSG00000171729,203
ENSG00000279457,75
ENSG00000229393,0
ENSG00000037637,2133
ENSG00000287586,0
ENSG00000159423,792
ENSG00000227169,0
ENSG00000283356,0
ENSG00000011021,2301
ENSG00000142615,0
ENSG00000215704,0
ENSG00000157916,2824
ENSG00000157881,814
ENSG00000238290,5
ENSG00000225387,2
ENSG00000048707,1460
ENSG00000225196,0
ENSG00000162444,6
ENSG00000279625,0
ENSG00000180758,12
ENSG00000184677,456
ENSG00000288398,98
ENSG00000224621,0
ENSG00000285833,0
ENSG00000131697,432
ENSG00000284692,4
ENSG00000284745,0
ENSG00000280222,0
ENSG00000285945,0
ENSG00000197921,84
ENSG00000233755,0
ENSG00000233929,0
ENSG00000271742,0
ENSG00000234166,0
ENSG00000235282,0
ENSG00000055070,4955
ENSG00000175087,3820
ENSG00000157191,838
ENSG00000230035,0
ENSG00000225643,0
ENSG00000284666,0
ENSG00000228943,0
ENSG00000234397,0
ENSG00000284309,0
ENSG00000162511,0
ENSG00000158014,8
ENSG00000204138,1119
ENSG00000233419,0
ENSG00000235263,0
ENSG00000228176,0
ENSG00000231251,0
ENSG00000142675,0
ENSG00000197245,18
ENSG00000130772,168
ENSG00000215899,0
ENSG00000271398,0
ENSG00000225011,0
ENSG00000235069,0
ENSG00000284676,0
ENSG00000237058,0
ENSG00000233399,0
ENSG00000090020,377
ENSG00000157978,176
ENSG00000130770,902
ENSG00000229044,0
ENSG00000162512,10457
ENSG00000158006,461
ENSG00000214812,2
ENSG00000126698,9142
ENSG00000229447,0
ENSG00000229607,0
ENSG00000130766,988
ENSG00000168528,692
ENSG00000196581,2160
ENSG00000169403,4
ENSG00000084628,4099
